============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.14-s037_1
  Generated on:           Jun 02 2026  02:06:35 am
  Module:                 top_ti
  Technology libraries:   saed14rvt_tt0p8v25c 
                          saed14rvt_ss0p72v25c 
                          saed14rvt_ff0p88v25c 
  Operating conditions:   _nominal_ (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

         Instance                               Module                         Cells  Cell Area  Net Area   Total Area  Wireload     
-------------------------------------------------------------------------------------------------------------------------------------
top_ti                                                                       5591114    2862977         0      2862977    <none> (D) 
    gen_tile[12].u_tile   compute_core_ti_12                                    5321       2707         0         2707    <none> (D) 
    gen_tile[491].u_tile  compute_core_ti_491                                   5312       2707         0         2707    <none> (D) 
    gen_tile[871].u_tile  compute_core_ti_871                                   5317       2707         0         2707    <none> (D) 
    gen_tile[863].u_tile  compute_core_ti_863                                   5326       2707         0         2707    <none> (D) 
    gen_tile[901].u_tile  compute_core_ti_901                                   5316       2707         0         2707    <none> (D) 
    gen_tile[851].u_tile  compute_core_ti_851                                   5317       2707         0         2707    <none> (D) 
    gen_tile[655].u_tile  compute_core_ti_655                                   5319       2707         0         2707    <none> (D) 
    gen_tile[512].u_tile  compute_core_ti_512                                   5316       2707         0         2707    <none> (D) 
    gen_tile[155].u_tile  compute_core_ti_155                                   5316       2707         0         2707    <none> (D) 
    gen_tile[139].u_tile  compute_core_ti_139                                   5317       2707         0         2707    <none> (D) 
    gen_tile[954].u_tile  compute_core_ti_954                                   5317       2707         0         2707    <none> (D) 
    gen_tile[173].u_tile  compute_core_ti_173                                   5322       2707         0         2707    <none> (D) 
    gen_tile[884].u_tile  compute_core_ti_884                                   5317       2707         0         2707    <none> (D) 
    gen_tile[439].u_tile  compute_core_ti_439                                   5317       2707         0         2707    <none> (D) 
    gen_tile[92].u_tile   compute_core_ti_92                                    5317       2707         0         2707    <none> (D) 
    gen_tile[374].u_tile  compute_core_ti_374                                   5316       2707         0         2707    <none> (D) 
    gen_tile[862].u_tile  compute_core_ti_862                                   5317       2707         0         2707    <none> (D) 
    gen_tile[392].u_tile  compute_core_ti_392                                   5319       2707         0         2707    <none> (D) 
    gen_tile[921].u_tile  compute_core_ti_921                                   5318       2707         0         2707    <none> (D) 
    gen_tile[929].u_tile  compute_core_ti_929                                   5326       2707         0         2707    <none> (D) 
    gen_tile[618].u_tile  compute_core_ti_618                                   5316       2707         0         2707    <none> (D) 
    gen_tile[557].u_tile  compute_core_ti_557                                   5316       2707         0         2707    <none> (D) 
    gen_tile[717].u_tile  compute_core_ti_717                                   5316       2707         0         2707    <none> (D) 
    gen_tile[726].u_tile  compute_core_ti_726                                   5316       2707         0         2707    <none> (D) 
    gen_tile[327].u_tile  compute_core_ti_327                                   5325       2707         0         2707    <none> (D) 
    gen_tile[592].u_tile  compute_core_ti_592                                   5309       2707         0         2707    <none> (D) 
    gen_tile[87].u_tile   compute_core_ti_87                                    5311       2707         0         2707    <none> (D) 
    gen_tile[749].u_tile  compute_core_ti_749                                   5311       2707         0         2707    <none> (D) 
    gen_tile[329].u_tile  compute_core_ti_329                                   5324       2707         0         2707    <none> (D) 
    gen_tile[420].u_tile  compute_core_ti_420                                   5327       2707         0         2707    <none> (D) 
    gen_tile[721].u_tile  compute_core_ti_721                                   5316       2707         0         2707    <none> (D) 
    gen_tile[837].u_tile  compute_core_ti_837                                   5316       2707         0         2707    <none> (D) 
    gen_tile[930].u_tile  compute_core_ti_930                                   5316       2707         0         2707    <none> (D) 
    gen_tile[945].u_tile  compute_core_ti_945                                   5316       2707         0         2707    <none> (D) 
    gen_tile[664].u_tile  compute_core_ti_664                                   5327       2707         0         2707    <none> (D) 
    gen_tile[25].u_tile   compute_core_ti_25                                    5317       2707         0         2707    <none> (D) 
    gen_tile[947].u_tile  compute_core_ti_947                                   5312       2707         0         2707    <none> (D) 
    gen_tile[994].u_tile  compute_core_ti_994                                   5330       2706         0         2706    <none> (D) 
    gen_tile[494].u_tile  compute_core_ti_494                                   5316       2706         0         2706    <none> (D) 
    gen_tile[549].u_tile  compute_core_ti_549                                   5316       2706         0         2706    <none> (D) 
    gen_tile[259].u_tile  compute_core_ti_259                                   5315       2706         0         2706    <none> (D) 
    gen_tile[123].u_tile  compute_core_ti_123                                   5316       2706         0         2706    <none> (D) 
    gen_tile[748].u_tile  compute_core_ti_748                                   5311       2706         0         2706    <none> (D) 
    gen_tile[520].u_tile  compute_core_ti_520                                   5311       2706         0         2706    <none> (D) 
    gen_tile[125].u_tile  compute_core_ti_125                                   5311       2706         0         2706    <none> (D) 
    gen_tile[801].u_tile  compute_core_ti_801                                   5325       2706         0         2706    <none> (D) 
    gen_tile[804].u_tile  compute_core_ti_804                                   5321       2706         0         2706    <none> (D) 
    gen_tile[84].u_tile   compute_core_ti_84                                    5311       2706         0         2706    <none> (D) 
    gen_tile[854].u_tile  compute_core_ti_854                                   5322       2706         0         2706    <none> (D) 
    gen_tile[338].u_tile  compute_core_ti_338                                   5315       2706         0         2706    <none> (D) 
    gen_tile[133].u_tile  compute_core_ti_133                                   5312       2706         0         2706    <none> (D) 
    gen_tile[141].u_tile  compute_core_ti_141                                   5316       2706         0         2706    <none> (D) 
    gen_tile[257].u_tile  compute_core_ti_257                                   5326       2706         0         2706    <none> (D) 
